page_slug,page_name,section_key,section_name,field_key,field_label,input_type,is_required,is_repeatable,example_value,notes
welcome,Home Landing,properties_items,Properties List,property_index,Urutan Properti,number,yes,yes,1,Isi 1 2 3 dst
welcome,Home Landing,properties_items,Properties List,property_name,Property Name,text,yes,yes,Skyline Space,Nama properti
welcome,Home Landing,properties_items,Properties List,property_slug,Property Slug,text,yes,yes,skyline-space,Untuk URL
welcome,Home Landing,properties_items,Properties List,property_location,Location,text,yes,yes,45 Pine Street,Alamat singkat
welcome,Home Landing,properties_items,Properties List,property_image,Image,image_url,yes,yes,/storage/media/property-1.jpg,Gambar card
welcome,Home Landing,properties_items,Properties List,bedrooms,Bedrooms,number,yes,yes,5,Angka
welcome,Home Landing,properties_items,Properties List,bathrooms,Bathrooms,number,yes,yes,4,Angka
welcome,Home Landing,properties_items,Properties List,building_area,Building Area (sqft),number,yes,yes,3200,Angka tanpa satuan
welcome,Home Landing,partners,Partner Section,section_title,Section Title,text,yes,no,Meet Our Partners,Judul partner
welcome,Home Landing,partners,Partner Section,section_description,Section Description,textarea,yes,no,We collaborate with trusted financial institutions...,Deskripsi partner
welcome,Home Landing,partners,Partner Section,cta_label,CTA Label,text,yes,no,Learn More,Teks tombol
welcome,Home Landing,partners,Partner Section,cta_url,CTA URL,url,yes,no,/partners,Link tombol
welcome,Home Landing,partner_items,Partner Logos,partner_index,Urutan Partner,number,yes,yes,1,Isi 1 2 3 dst
welcome,Home Landing,partner_items,Partner Logos,partner_name,Partner Name,text,yes,yes,Bank Jateng,Nama partner
welcome,Home Landing,partner_items,Partner Logos,partner_logo,Partner Logo,image_url,yes,yes,/storage/media/partner-bj.png,Logo transparan direkomendasikan
welcome,Home Landing,news,Latest News Header,section_title,Section Title,text,yes,no,Latest News,Judul section
welcome,Home Landing,news,Latest News Header,see_all_label,See All Label,text,yes,no,See All,Teks link kanan
welcome,Home Landing,news,Latest News Header,see_all_url,See All URL,url,yes,no,/artikel,URL link kanan
welcome,Home Landing,news_featured,Featured News,post_title,Title,text,yes,no,Rumah Dijual di Tangerang...,Judul artikel utama
welcome,Home Landing,news_featured,Featured News,post_excerpt,Excerpt,textarea,yes,no,Cari rumah dijual di Tangerang...,Ringkasan
welcome,Home Landing,news_featured,Featured News,post_image,Image,image_url,yes,no,/storage/media/blog-1.jpg,Gambar artikel utama
welcome,Home Landing,news_featured,Featured News,post_date,Publish Date,text,yes,no,19 Feb 2026,Format bebas konsisten
welcome,Home Landing,news_featured,Featured News,post_category,Category,text,yes,no,Blog,Kategori artikel
welcome,Home Landing,news_featured,Featured News,post_url,Post URL,url,yes,no,/artikel/1,Link detail
welcome,Home Landing,news_recent,Recent News List,post_index,Urutan Artikel,number,yes,yes,1,Isi 1 2 3 dst
welcome,Home Landing,news_recent,Recent News List,post_title,Title,text,yes,yes,Amadeus Signature...,Judul artikel
welcome,Home Landing,news_recent,Recent News List,post_excerpt,Excerpt,textarea,yes,yes,Rumah di Bogor Amadeus Signature...,Ringkasan
welcome,Home Landing,news_recent,Recent News List,post_image,Image,image_url,yes,yes,/storage/media/blog-2.jpg,Gambar artikel
welcome,Home Landing,news_recent,Recent News List,post_date,Publish Date,text,yes,yes,17 Feb 2026,Tanggal publish
welcome,Home Landing,news_recent,Recent News List,post_category,Category,text,yes,yes,Blog,Kategori
welcome,Home Landing,news_recent,Recent News List,post_url,Post URL,url,yes,yes,/artikel/2,URL detail
welcome,Home Landing,events,Special Events Header,section_title,Section Title,text,yes,no,Special Events,Bisa diubah per page
welcome,Home Landing,events,Special Events Header,cta_label,CTA Label,text,yes,no,See All,Teks tombol
welcome,Home Landing,events,Special Events Header,cta_url,CTA URL,url,yes,no,/events,URL tombol
welcome,Home Landing,event_items,Events List,event_index,Urutan Event,number,yes,yes,1,Isi 1 2 3 dst
welcome,Home Landing,event_items,Events List,event_title,Event Title,text,yes,yes,BCA Expoversary,Judul event
welcome,Home Landing,event_items,Events List,event_description,Event Description,textarea,yes,yes,Temukan promo eksklusif...,Deskripsi event
welcome,Home Landing,event_items,Events List,event_date,Event Date,text,yes,yes,28 Feb 2026,Tanggal event
welcome,Home Landing,event_items,Events List,event_image,Event Image,image_url,yes,yes,/storage/media/event-1.jpg,Gambar event
welcome,Home Landing,faq_header,FAQ Header,section_title,Section Title,text,yes,no,Frequently Asked Question,Judul FAQ
welcome,Home Landing,faq_header,FAQ Header,section_description,Section Description,textarea,yes,no,Here are some common questions...,Deskripsi FAQ
welcome,Home Landing,faq_items,FAQ Items,faq_index,Urutan FAQ,number,yes,yes,1,Isi 1 2 3 dst
welcome,Home Landing,faq_items,FAQ Items,question,Pertanyaan,text,yes,yes,How can I view a property...,Pertanyaan FAQ
welcome,Home Landing,faq_items,FAQ Items,answer,Jawaban,textarea,yes,yes,You can contact our agent...,Jawaban FAQ
about,About Page,hero,Hero Banner,hero_image,Hero Image,image_url,yes,no,/storage/media/about-hero.jpg,Gambar hero
about,About Page,hero,Hero Banner,page_title,Page Title,text,yes,no,Quinland Grup,Judul hero
about,About Page,hero,Hero Banner,page_subtitle,Page Subtitle,textarea,yes,no,The largest and most diversified property developer in Indonesia,Deskripsi hero
about,About Page,intro,About Intro,section_label,Section Label,text,yes,no,Tentang Kami,Label kecil
about,About Page,intro,About Intro,section_title,Section Title,text,yes,no,Membangun Masa Depan Menciptakan Kebahagiaan,Judul utama
about,About Page,intro,About Intro,paragraph_1,Paragraph 1,textarea,yes,no,Quinland Grup adalah pengembang properti...,Deskripsi utama
about,About Page,intro,About Intro,paragraph_2,Paragraph 2,textarea,yes,no,Dengan portofolio yang mencakup...,Deskripsi kedua
about,About Page,intro,About Intro,intro_image,Intro Image,image_url,yes,no,/storage/media/about-team.jpg,Gambar tim
about,About Page,stats,Company Stats,stat_1_label,Stat 1 Label,text,yes,no,Tahun Pengalaman,Label statistik
about,About Page,stats,Company Stats,stat_1_value,Stat 1 Value,text,yes,no,20+,Nilai statistik
about,About Page,stats,Company Stats,stat_2_label,Stat 2 Label,text,yes,no,Project Selesai,Label statistik
about,About Page,stats,Company Stats,stat_2_value,Stat 2 Value,text,yes,no,150+,Nilai statistik
about,About Page,stats,Company Stats,stat_3_label,Stat 3 Label,text,yes,no,Keluarga Bahagia,Label statistik
about,About Page,stats,Company Stats,stat_3_value,Stat 3 Value,text,yes,no,10K+,Nilai statistik
about,About Page,vision_mission,Vision Mission Header,section_label,Section Label,text,yes,no,Visi & Misi,Label section
about,About Page,vision_mission,Vision Mission Header,section_title,Section Title,text,yes,no,Landasan Kami Berkarya,Judul section
about,About Page,vision,Vision Card,title,Vision Title,text,yes,no,Visi Kami,Judul kartu
about,About Page,vision,Vision Card,description,Vision Description,textarea,yes,no,Menjadi pengembang properti terdepan...,Isi visi
about,About Page,mission,Mission Card,title,Mission Title,text,yes,no,Misi Kami,Judul kartu
about,About Page,mission_items,Mission List,item_index,Urutan Misi,number,yes,yes,1,Isi 1 2 3 dst
about,About Page,mission_items,Mission List,item_text,Isi Misi,textarea,yes,yes,Mengembangkan kawasan hunian yang terintegrasi...,Isi bullet misi
about,About Page,office,Office Section Header,section_label,Section Label,text,yes,no,Kantor Kami,Label section
about,About Page,office,Office Section Header,section_title,Section Title,text,yes,no,Kunjungi Kantor Quinland Grup,Judul section
about,About Page,office,Office Section,office_image,Office Image,image_url,yes,no,/storage/media/office.jpg,Gambar kantor
about,About Page,office,Office Section,office_name,Office Name,text,yes,no,Kantor Pusat - Jakarta,Nama kantor
about,About Page,office,Office Section,address,Address,textarea,yes,no,Jl. Jend. Sudirman Kav. 52-53 Jakarta Selatan 12190,Alamat lengkap
about,About Page,office,Office Section,phone,Phone,text,yes,no,+62 21 5292 1888,Nomor telp
about,About Page,office,Office Section,email,Email,email,yes,no,info@quinlandgrup.co.id,Email kantor
about,About Page,office,Office Section,operating_hours,Operating Hours,text,yes,no,Senin - Jumat 08:00 - 17:00 WIB,Jam operasional
about,About Page,featured_properties,Featured Properties Header,section_label,Section Label,text,yes,no,Project Kami,Label section
about,About Page,featured_properties,Featured Properties Header,section_title,Section Title,text,yes,no,Properti Unggulan,Judul section
about,About Page,featured_properties,Featured Properties Header,see_all_label,See All Label,text,yes,no,Lihat Semua,Teks CTA
about,About Page,featured_properties,Featured Properties Header,see_all_url,See All URL,url,yes,no,/property,Link CTA
artikel,Artikel Page,hero,Hero Banner,hero_image,Hero Image,image_url,yes,no,/storage/media/blog-1.jpg,Gambar banner
artikel,Artikel Page,hero,Hero Banner,page_title,Page Title,text,yes,no,Artikel,Judul banner
artikel,Artikel Page,hero,Hero Banner,page_subtitle,Page Subtitle,textarea,yes,no,Tips insight dan informasi terkini seputar dunia properti...,Subjudul banner
artikel,Artikel Page,featured_slider,Featured Slider Header,section_title,Section Title,text,yes,no,Artikel Utama,Judul slider utama
artikel,Artikel Page,featured_articles,Featured Articles List,article_index,Urutan Artikel,number,yes,yes,1,Isi 1 2 3 dst
artikel,Artikel Page,featured_articles,Featured Articles List,title,Title,text,yes,yes,Rumah Dijual di Tangerang...,Judul
artikel,Artikel Page,featured_articles,Featured Articles List,excerpt,Excerpt,textarea,yes,yes,Cari rumah dijual di Tangerang...,Ringkasan
artikel,Artikel Page,featured_articles,Featured Articles List,image,Image,image_url,yes,yes,/storage/media/blog-1.jpg,Gambar artikel
artikel,Artikel Page,featured_articles,Featured Articles List,date,Publish Date,text,yes,yes,19 Feb 2026,Tanggal
artikel,Artikel Page,featured_articles,Featured Articles List,category,Category,text,yes,yes,Blog,Kategori
artikel,Artikel Page,featured_articles,Featured Articles List,url,Post URL,url,yes,yes,/artikel/1,URL detail
artikel,Artikel Page,all_articles,All Articles Header,section_title,Section Title,text,yes,no,Semua Artikel,Judul section
artikel,Artikel Page,all_articles,All Articles Header,total_label,Total Label,text,yes,no,8 artikel,Label jumlah
artikel,Artikel Page,all_articles_items,All Articles List,article_index,Urutan Artikel,number,yes,yes,1,Isi artikel non-featured
artikel,Artikel Page,all_articles_items,All Articles List,title,Title,text,yes,yes,Tips Memilih Rumah Idaman...,Judul artikel
artikel,Artikel Page,all_articles_items,All Articles List,excerpt,Excerpt,textarea,yes,yes,Panduan lengkap memilih rumah...,Ringkasan
artikel,Artikel Page,all_articles_items,All Articles List,image,Image,image_url,yes,yes,/storage/media/blog-4.jpg,Gambar artikel
artikel,Artikel Page,all_articles_items,All Articles List,date,Publish Date,text,yes,yes,15 Feb 2026,Tanggal
artikel,Artikel Page,all_articles_items,All Articles List,category,Category,text,yes,yes,Tips,Kategori
artikel,Artikel Page,all_articles_items,All Articles List,url,Post URL,url,yes,yes,/artikel/4,URL detail
event-csr,Event CSR Page,hero,Hero Banner,hero_image,Hero Image,image_url,yes,no,/storage/media/event-csr-hero.jpg,Gambar hero
event-csr,Event CSR Page,hero,Hero Banner,page_title,Page Title,text,yes,no,Event & CSR,Judul page
event-csr,Event CSR Page,hero,Hero Banner,page_subtitle,Page Subtitle,textarea,yes,no,Berbagai kegiatan event properti eksklusif...,Subjudul hero
event-csr,Event CSR Page,events,Events Header,section_title,Section Title,text,yes,no,Special Events,Judul section event
event-csr,Event CSR Page,events,Events Header,cta_label,CTA Label,text,yes,no,See All,Teks CTA
event-csr,Event CSR Page,events,Events Header,cta_url,CTA URL,url,yes,no,/events,URL CTA
event-csr,Event CSR Page,csr_intro,CSR Intro,section_label,Section Label,text,yes,no,Corporate Social Responsibility,Label section
event-csr,Event CSR Page,csr_intro,CSR Intro,section_title,Section Title,text,yes,no,Komitmen Kami untuk Masyarakat,Judul CSR
event-csr,Event CSR Page,csr_intro,CSR Intro,section_description,Section Description,textarea,yes,no,Quinland Grup percaya bahwa pembangunan berkelanjutan...,Deskripsi CSR
event-csr,Event CSR Page,csr_programs,CSR Programs List,program_index,Urutan Program,number,yes,yes,1,Isi 1 2 3 dst
event-csr,Event CSR Page,csr_programs,CSR Programs List,title,Program Title,text,yes,yes,Rumah untuk Semua,Judul program
event-csr,Event CSR Page,csr_programs,CSR Programs List,description,Program Description,textarea,yes,yes,Program pembangunan rumah layak huni...,Deskripsi program
event-csr,Event CSR Page,csr_programs,CSR Programs List,image,Program Image,image_url,yes,yes,/storage/media/csr-1.jpg,Gambar program
event-csr,Event CSR Page,csr_programs,CSR Programs List,category,Program Category,text,yes,yes,Housing,Kategori badge
event-csr,Event CSR Page,csr_programs,CSR Programs List,icon,Program Icon,text,yes,yes,Home,Icon lucide
event-csr,Event CSR Page,csr_programs,CSR Programs List,date,Program Date,text,yes,yes,Ongoing,Tanggal/periode
property,Property Listing,hero,Hero Slider,slide_index,Urutan Slide,number,yes,yes,1,Isi 1 2 3 dst
property,Property Listing,hero,Hero Slider,slide_image,Slide Image,image_url,yes,yes,/storage/media/property-hero.jpg,Gambar hero
property,Property Listing,hero,Hero Slider,slide_alt,Alt Text,text,yes,yes,Modern property project,Aksesibilitas
property,Property Listing,hero,Hero Slider,slide_tagline,Tagline,text,yes,yes,Find your next home,Subjudul hero
property,Property Listing,hero,Hero Slider,slide_heading,Heading,text,yes,yes,Premium Residence Collection,Judul hero
property,Property Listing,hero,Hero Slider,slide_cta_label,CTA Label,text,no,yes,Explore Now,Opsional
property,Property Listing,hero,Hero Slider,slide_cta_url,CTA URL,url,no,yes,/property,Opsional
property,Property Listing,featured_residence,Featured Residence,property_slug,Featured Property Slug,text,yes,no,skyline-space,Diambil dari data properti
property,Property Listing,featured_residence,Featured Residence,fallback_image,Fallback Image,image_url,no,no,/storage/media/property-1.jpg,Dipakai jika image properti kosong
property,Property Listing,property_grid,Property Grid Header,title,Section Title,text,yes,no,All Properties,Judul list
property,Property Listing,property_grid,Property Grid Header,description,Section Description,textarea,no,no,Find your dream property...,Deskripsi list
property-detail,Property Detail,main_info,Property Main Info,property_name,Property Name,text,yes,no,Skyline Space,Nama properti
property-detail,Property Detail,main_info,Property Main Info,property_slug,Property Slug,text,yes,no,skyline-space,Slug URL
property-detail,Property Detail,main_info,Property Main Info,property_category,Property Category,text,no,no,Residential,Kategori
property-detail,Property Detail,main_info,Property Main Info,property_price,Property Price,text,yes,no,Rp 1.250.000.000,Format bebas konsisten
property-detail,Property Detail,gallery,Image Gallery,gallery_index,Urutan Gambar,number,yes,yes,1,Minimal 3 gambar untuk layout optimal
property-detail,Property Detail,gallery,Image Gallery,image,Gallery Image,image_url,yes,yes,/storage/media/property-detail-1.jpg,Gambar properti
property-detail,Property Detail,overview,Overview Tab,description,Property Description,textarea,yes,no,Hunian premium di lokasi strategis...,Deskripsi panjang properti
property-detail,Property Detail,facilities,Facilities Tab,facility_index,Urutan Fasilitas,number,yes,yes,1,Isi 1 2 3 dst
property-detail,Property Detail,facilities,Facilities Tab,facility_icon,Facility Icon,text,yes,yes,ShieldCheck,Icon lucide
property-detail,Property Detail,facilities,Facilities Tab,facility_label,Facility Label,text,yes,yes,Security 24/7,Nama fasilitas
property-detail,Property Detail,house_types,Type Rumah,type_index,Urutan Tipe,number,yes,yes,1,Isi 1 2 3 dst
property-detail,Property Detail,house_types,Type Rumah,type_name,Type Name,text,yes,yes,Type 88,Nama tipe
property-detail,Property Detail,house_types,Type Rumah,bedrooms,Bedrooms,number,yes,yes,3,Jumlah kamar tidur
property-detail,Property Detail,house_types,Type Rumah,bathrooms,Bathrooms,number,yes,yes,2,Jumlah kamar mandi
property-detail,Property Detail,house_types,Type Rumah,building_area_m2,Building Area m2,number,yes,yes,88,Luas bangunan m2
property-detail,Property Detail,house_types,Type Rumah,type_description,Type Description,textarea,yes,yes,Cocok untuk keluarga muda...,Deskripsi tipe
property-detail,Property Detail,house_types,Type Rumah,denah_image,Denah Image,image_url,yes,yes,/storage/media/denah-88.jpg,Gambar denah
property-detail,Property Detail,location,Location Tab,address_label,Location Address,text,yes,no,Grand City Balikpapan Kalimantan Timur Indonesia,Alamat lokasi
property-detail,Property Detail,location,Location Tab,google_maps_embed_url,Google Maps Embed URL,url,yes,no,https://www.google.com/maps/embed?pb=...,URL embed map
property-detail,Property Detail,progress,Property Progress,progress_index,Urutan Progress,number,yes,yes,1,Isi timeline bulanan
property-detail,Property Detail,progress,Property Progress,month_label,Bulan,text,yes,yes,Oktober 2025,Label bulan
property-detail,Property Detail,progress,Property Progress,progress_title,Progress Title,text,yes,yes,Land Clearing & Foundation,Tahap progress
property-detail,Property Detail,progress,Property Progress,progress_percentage,Progress Percentage,number,yes,yes,15,Nilai 0-100
property-detail,Property Detail,progress,Property Progress,progress_image,Progress Image,image_url,yes,yes,/storage/media/progress-1.jpg,Gambar progress
property-detail,Property Detail,booking,Booking Sidebar,booking_title,Booking Title,text,yes,no,Booking Appointment,Judul form
property-detail,Property Detail,booking,Booking Sidebar,booking_description,Booking Description,textarea,yes,no,Schedule a time to meet with our property expert...,Deskripsi form
property-detail,Property Detail,booking,Booking Sidebar,price_prefix,Price Prefix,text,yes,no,Starts From,Teks sebelum harga
property-detail,Property Detail,booking,Booking Sidebar,submit_label,Submit Button Label,text,yes,no,Submit,Teks tombol submit
property-detail,Property Detail,booking,Booking Sidebar,agreement_text,Agreement Text,textarea,yes,no,I agree to the terms and conditions that apply.,Teks checkbox
property-detail,Property Detail,booking,Booking Sidebar,privacy_note,Privacy Note,textarea,yes,no,Quinland Grup will never sell or share your information...,Catatan privasi
property-detail,Property Detail,other_projects,Project Lainnya Header,section_title,Section Title,text,yes,no,Project Lainnya,Judul section
event,Events Shared Section,events,Events Header,section_title,Section Title,text,yes,no,Special Events,Dipakai di beberapa halaman
event,Events Shared Section,events,Events Header,cta_label,CTA Label,text,yes,no,See All,Dipakai di beberapa halaman
event,Events Shared Section,events,Events Header,cta_url,CTA URL,url,yes,no,/events,Dipakai di beberapa halaman
faq,FAQ Shared Section,faq_header,FAQ Header,section_title,Section Title,text,yes,no,Frequently Asked Question,Dipakai di beberapa halaman
faq,FAQ Shared Section,faq_header,FAQ Header,section_description,Section Description,textarea,yes,no,Here are some common questions...,Dipakai di beberapa halaman
faq,FAQ Shared Section,faq_items,FAQ Items,faq_index,Urutan FAQ,number,yes,yes,1,Isi 1 2 3 dst
faq,FAQ Shared Section,faq_items,FAQ Items,question,Pertanyaan,text,yes,yes,How can I view a property...,Pertanyaan FAQ
faq,FAQ Shared Section,faq_items,FAQ Items,answer,Jawaban,textarea,yes,yes,You can contact our agent...,Jawaban FAQ
home,Home Generic,main,Main Content,page_title,Page Title,text,yes,no,Home,Untuk resources/js/pages/Home.tsx
home,Home Generic,main,Main Content,page_content_html,Page Content HTML,richtext_html,yes,no,<p>Isi konten halaman home</p>,Konten HTML dari CMS
home,Home Generic,seo,SEO,seo_title,SEO Title,text,no,no,Home - Quinland Grup,Opsional
home,Home Generic,seo,SEO,seo_description,SEO Description,textarea,no,no,Deskripsi SEO home,Opsional
proyek,Proyek Generic,main,Main Content,page_title,Page Title,text,yes,no,Proyek,Untuk resources/js/pages/Proyek.tsx
proyek,Proyek Generic,main,Main Content,page_content_html,Page Content HTML,richtext_html,yes,no,<p>Isi konten halaman proyek</p>,Konten HTML dari CMS
proyek,Proyek Generic,seo,SEO,seo_title,SEO Title,text,no,no,Proyek - Quinland Grup,Opsional
proyek,Proyek Generic,seo,SEO,seo_description,SEO Description,textarea,no,no,Deskripsi SEO proyek,Opsional
login,Login Page,main,Main Content,page_title,Page Title,text,yes,no,Login,Judul halaman login
login,Login Page,main,Main Content,page_description,Page Description,textarea,yes,no,This page was automatically generated.,Deskripsi halaman login
generic-page,Generic CMS Page,main,Main Content,page_title,Page Title,text,yes,no,Tentang Layanan,Judul halaman
generic-page,Generic CMS Page,main,Main Content,page_slug,Page Slug,text,yes,no,tentang-layanan,Slug URL
generic-page,Generic CMS Page,main,Main Content,page_content_html,Page Content HTML,richtext_html,yes,no,<p>Isi konten halaman</p>,Konten HTML
generic-page,Generic CMS Page,seo,SEO,seo_title,SEO Title,text,no,no,Tentang Layanan - Quinland Grup,Opsional
generic-page,Generic CMS Page,seo,SEO,seo_description,SEO Description,textarea,no,no,Deskripsi SEO halaman,Opsional
